Ma phim,Nam san xuat,Nguon xem phim,Ten phim,Diem phe binh,Cam xuc phe binh,Diem khan gia,Cam xuc cua khan gia,Ngay ra rap,Ngay phat song,Danh gia,Ngon ngu,Thoi luong phim
482415fa-ef09-40eb-a954-feea218c01ae,2023,https://www.rottentomatoes.com/m/flora_and_son,Flora and Son,9.3,positive,8.4,positive,22/09/2023,29/09/2023,R (Brief Drug Use|Sexual References|Language Throughout),English,1h 34m
48f097af-77cd-4247-bd45-0fa93ff79a74,2023,https://www.rottentomatoes.com/m/mob_land,Mob Land,5.0,negative,7.7,positive,04/08/2023,25/08/2023,R,English,1h 52m
49f76a30-5bc1-4dc8-b29a-18e257c78118,2023,https://www.rottentomatoes.com/m/polite_society,Polite Society,9.1,positive,8.4,positive,28/04/2023,16/05/2023,PG-13 (Some Partial Nudity|Sexual Material|Strong Language|Violence),English,1h 43m
4bda4d5c-f577-46ec-ab3a-b5942975b47f,2023,https://www.rottentomatoes.com/m/air_2023,Air,9.3,positive,9.8,positive,05/04/2023,12/05/2023,R (Language),English,1h 52m
4c3c8819-7949-319c-ace5-3cdc76f32c1c,2023,https://www.rottentomatoes.com/m/the_last_voyage_of_the_demeter,The Last Voyage of the Demeter,4.9,negative,7.5,positive,11/08/2023,29/08/2023,R (Bloody Violence),English,1h 58m
4ca97e5b-d719-4169-9870-1881c2acd3bc,2023,https://www.rottentomatoes.com/m/the_tank_2023,The Tank,3.3,negative,2.6,negative,21/04/2023,25/04/2023,R (Brief Language|Some Violence/Bloody Images),English,1h 40m
4ce7ee8d-fc06-3783-9b49-8bbb5ee25a77,2023,https://www.rottentomatoes.com/m/palm_trees_and_power_lines,Palm Trees and Power Lines,9.1,positive,7.8,positive,03/03/2023,03/03/2023,R,English,1h 50m
4d75a4ed-afcc-3555-ba36-922f0b297c79,2023,https://www.rottentomatoes.com/m/big_george_foreman_the_miraculous_story_of_the_once_and_future_heavyweight_champion_of_the_world,Big George Foreman: The Miraculous Story of the Once and Future Heavyweight Champion of the World,4.2,negative,9.6,positive,28/04/2023,16/05/2023,PG-13 (Some Sports Violence),English,2h 9m
4efcf141-1d76-3920-b603-722000558a86,2023,https://www.rottentomatoes.com/m/the_pigeon_tunnel,The Pigeon Tunnel,9.6,positive,7.0,positive,20/10/2023,20/10/2023,PG-13 (Brief Language|Some Violence|Smoking),English,1h 34m
4f1acbb5-6c09-330a-87b9-530a698c5e65,2023,https://www.rottentomatoes.com/m/sharknado,Sharknado,7.7,positive,3.4,negative,15/08/2023,11/10/2016,TV-14 (V|L),English,1h 26m
4f2475ed-8f43-44e7-b5f5-f83fbcd9413f,2023,https://www.rottentomatoes.com/m/my_animal,My Animal,7.2,positive,1.4,negative,08/09/2023,15/09/2023,R (Sexual Content|Nudity|Language Throughout|Some Drug Use|Violence),English,1h 43m
500e1653-2124-3106-b3d0-adda2cb98934,2023,https://www.rottentomatoes.com/m/paw_patrol_the_mighty_movie,PAW Patrol: The Mighty Movie,7.2,positive,9.4,positive,29/09/2023,31/10/2023,PG (Mild Action/Peril),English,1h 32m
511a7cb0-f1e5-3863-9b19-636deb174b75,2023,https://www.rottentomatoes.com/m/old_dads,Old Dads,2.5,negative,8.5,positive,13/10/2023,20/10/2023,R (Pervasive Language|Nudity|Brief Drug Use|Sexual Material),English,1h 42m
514e7630-9180-30da-bae8-82460101d65f,2023,https://www.rottentomatoes.com/m/a_thousand_and_one,A Thousand and One,9.7,positive,8.5,positive,31/03/2023,18/04/2023,R (Language),English,1h 57m
5171a5ec-9a70-3676-bff2-a6b73a4bb5de,2023,https://www.rottentomatoes.com/m/your_place_or_mine_2023,Your Place or Mine,3.0,negative,3.5,negative,10/02/2023,10/02/2023,PG-13 (Brief Strong Language|Suggestive Material),English,1h 49m
57fc418a-fde1-3529-ba22-8f281d298574,2023,https://www.rottentomatoes.com/m/the_little_mermaid_2023,The Little Mermaid,6.7,positive,9.4,positive,26/05/2023,25/07/2023,PG (Some Scary Images|Action/Peril),English,2h 15m
5a3da5de-68fd-4a9d-80f7-507c4613c0e1,2023,https://www.rottentomatoes.com/m/wildflower,Wildflower,6.3,positive,9.3,positive,17/03/2023,21/03/2023,R (A Sexual Reference|Teen Drinking|Some Language),English,1h 45m
5b8dab0e-3838-490a-86e2-490febde294c,2023,https://www.rottentomatoes.com/m/fear_2023,Fear,2.1,negative,3.7,negative,27/01/2023,28/03/2023,R (Bloody Violence and Language),English,1h 25m
5c9cb353-8439-33ad-88ac-fc6fda7fc50a,2023,https://www.rottentomatoes.com/m/flamin_hot,Flamin' Hot,6.8,positive,8.7,positive,02/06/2023,09/06/2023,PG-13 (Some Strong Language|Brief Drug Material),English,2h 9m
5ccb374d-be86-47f8-86d3-b86d40d599e7,2023,https://www.rottentomatoes.com/m/napoleon_2023,Napoleon,5.8,negative,5.9,negative,22/11/2023,09/01/2024,R (Sexual Content|Brief Language|Some Grisly Images|Strong Violence),English,2h 38m
5f19e3e1-ff56-31f2-acd0-dee2cf925a7b,2023,https://www.rottentomatoes.com/m/m3gan,M3GAN,9.3,positive,7.8,positive,06/01/2023,24/01/2023,PG-13 (Some Strong Language|A Suggestive Reference|Terror|Violent Content),English,1h 42m
60c6162f-f2ba-3193-835c-623fe2dae669,2023,https://www.rottentomatoes.com/m/stephen_curry_underrated,Stephen Curry: Underrated,8.5,positive,8.6,positive,21/07/2023,21/07/2023,PG-13 (Brief Strong Language),English,1h 50m
61144475-dcbf-374f-b78e-5ee0385a2225,2023,https://www.rottentomatoes.com/m/boudica_queen_of_war,Boudica: Queen of War,4.0,negative,1.6,negative,27/10/2023,27/10/2023,R (Strong Bloody Violence|Some Language),English (United Kingdom),1h 40m
621955c8-b3e9-46db-b4bc-ca3e8718651d,2023,https://www.rottentomatoes.com/m/anatomy_of_a_fall,Anatomy of a Fall,9.6,positive,9.0,positive,13/10/2023,22/12/2023,R (Some Language|Sexual References|Violent Images),French,2h 30m
6473df0f-13e2-48fe-a6b0-efc8bf9926a6,2023,https://www.rottentomatoes.com/m/american_symphony,American Symphony,9.4,positive,7.6,positive,24/11/2023,29/11/2023,PG-13 (Some Strong Language),English,1h 40m
65013f48-9a02-3b40-a131-c197b3d8ef9a,2023,https://www.rottentomatoes.com/m/magic_mikes_last_dance,Magic Mike's Last Dance,4.7,negative,7.3,positive,10/02/2023,21/03/2023,R (Sexual Material and Language),English,1h 52m
65021aba-fbbf-3c55-b038-4d324afb1a96,2023,https://www.rottentomatoes.com/m/the_holdovers,The Holdovers,9.7,positive,9.2,positive,10/11/2023,28/11/2023,R (Language|Brief Sexual Material|Some Drug Use),English,2h 13m
65aa26fd-f6c7-4f7d-a8ba-51514797261e,2023,https://www.rottentomatoes.com/m/seriously_red,Seriously Red,5.2,negative,4.5,negative,10/02/2023,10/02/2023,R (Some Language|Sexual Content|Nudity),English,1h 44m
6797413f-aa25-3f46-8f35-252d14288b1b,2023,https://www.rottentomatoes.com/m/nyad,Nyad,8.5,positive,8.7,positive,20/10/2023,03/11/2023,PG-13 (Sexual Abuse|Brief Partial Nudity|Some Strong Language|Thematic Material),English,2h 1m
6838626b-f815-3e15-85fb-25db274648bb,2023,https://www.rottentomatoes.com/m/the_popes_exorcist,The Pope's Exorcist,5.0,negative,8.1,positive,14/04/2023,02/05/2023,R (Sexual References|Language|Some Nudity|Violent Content),English,1h 43m
69e1077e-e4aa-33ea-b524-91f8accb2f0a,2023,https://www.rottentomatoes.com/m/my_big_fat_greek_wedding_3,My Big Fat Greek Wedding 3,3.1,negative,7.1,positive,08/09/2023,03/11/2023,PG-13 (Suggestive Material|Some Nudity),English,1h 31m
