Nam san xuat,Nguon xem phim,Ten phim,Diem phe binh,Ngay ra rap,The loai,Ngon ngu,Thoi luong phim
2023,https://www.rottentomatoes.com/m/priscilla,Priscilla,8.4,03/11/2023,R (Drug Use and Some Language),English,1h 53m
2023,https://www.rottentomatoes.com/m/mafia_mamma,Mafia Mamma,2.1,14/04/2023,R (Language|Bloody Violence|Sexual Content),English,1h 41m
2023,https://www.rottentomatoes.com/m/wonka,Wonka,8.2,15/12/2023,PG (Some Violence|Mild Language|Thematic Elements),English,1h 56m
2023,https://www.rottentomatoes.com/m/spider_man_across_the_spider_verse,Spider-Man: Across the Spider-Verse,9.5,02/06/2023,PG (Some Language|Animated Action Violence|Thematic Elements),English,2h 20m
2023,https://www.rottentomatoes.com/m/five_nights_at_freddys,Five Nights at Freddy's,3.2,27/10/2023,PG-13 (Language|Bloody Images|Strong Violent Content),English,1h 50m
2023,https://www.rottentomatoes.com/m/vindicta,Vindicta,1.4,06/10/2023,R (Brief Drug Material|Violence and Gore|Language),English,1h 23m
2023,https://www.rottentomatoes.com/m/bottoms,Bottoms,9.0,01/09/2023,R (Some Violence|Pervasive Language|Crude Sexual Content),English,1h 28m
2023,https://www.rottentomatoes.com/m/victim_suspect,Victim/Suspect,7.9,23/05/2023,R (Some Language),English,1h 30m
2023,https://www.rottentomatoes.com/m/teenage_mutant_ninja_turtles_mutant_mayhem,Teenage Mutant Ninja Turtles: Mutant Mayhem,9.5,02/08/2023,PG (Language|Impolite Material|Sequences of Violence & Action),English,1h 39m
2023,https://www.rottentomatoes.com/m/missing_2023,Missing,8.8,20/01/2023,PG-13 (Some Strong Violence|Language|Teen Drinking|Thematic Material),English,1h 51m
2023,https://www.rottentomatoes.com/m/sick_girl_2023,Sick Girl,3.8,20/10/2023,R (Drug Use|Some Sexual References|Language Throughout),English,1h 39m
2023,https://www.rottentomatoes.com/m/manodrome,Manodrome,4.9,10/11/2023,R,English (United Kingdom),1h 36m
2023,https://www.rottentomatoes.com/m/talk_to_me_2023,Talk to Me,9.4,28/07/2023,R (Some Sexual Material|Language Throughout|Strong/Bloody Violent Content),English,1h 35m
2023,https://www.rottentomatoes.com/m/guardians_of_the_galaxy_vol_3,Guardians of the Galaxy Vol. 3,8.2,05/05/2023,PG-13 (Intense Sequences of Violence|Action|Strong Language|Suggestive/Drug References|Thematic Elements),English,2h 30m
2023,https://www.rottentomatoes.com/m/barbie,Barbie,8.8,21/07/2023,PG-13 (Suggestive References|Brief Language),English,1h 54m
2023,https://www.rottentomatoes.com/m/you_people_2023,You People,4.0,20/01/2023,R (Some Sexual Material|Language Throughout|Drug Content),English,1h 57m
2023,https://www.rottentomatoes.com/m/past_lives,Past Lives,9.5,30/06/2023,PG-13 (Some Strong Language),English,1h 46m
2023,https://www.rottentomatoes.com/m/war_pony,War Pony,9.3,28/07/2023,R (Some Violence|Pervasive Language|Drug and Alcohol Use),English,1h 55m
2023,https://www.rottentomatoes.com/m/sharper,Sharper,6.9,10/02/2023,R (Language Throughout|Some Sexual References),English,1h 56m
2023,https://www.rottentomatoes.com/m/nefarious_2023,Nefarious,3.3,14/04/2023,R (Disturbing Violent Content),English,1h 38m
2023,https://www.rottentomatoes.com/m/love_again_2023,Love Again,2.8,05/05/2023,PG-13 (Some Strong Language|Some Sexual Material),English,1h 44m
2023,https://www.rottentomatoes.com/m/house_party_2023,House Party,2.8,13/01/2023,R (Pervasive Language|Drug Use|Sexual Material|Some Violence),English,1h 40m
2023,https://www.rottentomatoes.com/m/no_hard_feelings_2023,No Hard Feelings,7.0,23/06/2023,R (Language|Brief Drug Use|Sexual Content|Some Graphic Nudity),English,1h 43m
2023,https://www.rottentomatoes.com/m/consecration,Consecration,4.1,10/02/2023,R (Bloody Violent Content|Some Language),English (United Kingdom),1h 30m
2023,https://www.rottentomatoes.com/m/elemental_2023,Elemental,7.3,16/06/2023,PG (Some Peril|Brief Language|Thematic Elements),English,1h 41m
2023,https://www.rottentomatoes.com/m/sweetwater,Sweetwater,2.5,14/04/2023,PG-13 (Smoking|Violence|Some Racial Slurs),English,1h 54m
2023,https://www.rottentomatoes.com/m/the_canterville_ghost_2023,The Canterville Ghost,5.7,20/10/2023,PG,English,1h 34m
2023,https://www.rottentomatoes.com/m/the_black_demon,The Black Demon,2.8,28/04/2023,R (Some Grisly Images),English,1h 40m
