movieId,movieYear,movieURL,movieTitle,critic_score,critic_sentiment,audience_score,audience_sentiment,release_date_theaters,release_date_streaming,rating,original_language,runtime
0550eb3a-17ec-4505-bb06-317c4af9bfa4,2023,https://www.rottentomatoes.com/m/brooklyn_45,Brooklyn 45,90,positive,46,negative,,9-Jun-23,,English,1h 32m
05dbb299-bdb9-408a-a2d3-e0800b46f657,2023,https://www.rottentomatoes.com/m/suitable_flesh,Suitable Flesh,85,positive,61,positive,"Oct 27, 2023, Limited",27-Oct-23,,English,1h 39m
060ef191-6142-3bd7-9531-ee87a34cf85d,2023,https://www.rottentomatoes.com/m/huesera_the_bone_woman,Huesera: The Bone Woman,97,positive,66,positive,"Feb 10, 2023, Limited",16-Feb-23,,Spanish,1h 33m
06af75ac-ae61-45d4-9b0f-d3d5cb6f5019,2023,https://www.rottentomatoes.com/m/please_dont_destroy_the_treasure_of_foggy_mountain,Please Don't Destroy: The Treasure of Foggy Mountain,42,negative,90,positive,,17-Nov-23,R (Sexual Material|Pervasive Language|Brief Graphic Nudity|Some Drug Material|Violence),English,1h 32m
06b965cd-611b-36fa-aa09-5f4d7d03bef1,2023,https://www.rottentomatoes.com/m/sayen,Sayen: The Huntress,,,29,negative,,3-Mar-23,,Spanish,1h 34m
07d54001-34eb-3aa0-b101-5423c7ee3b77,2023,https://www.rottentomatoes.com/m/tales_from_the_apocalypse,Tales from the Apocalypse,,,67,positive,,4-Jul-23,,,1h 20m
07d7f9a2-3fa1-342a-b6ca-27fd594e04c6,2023,https://www.rottentomatoes.com/m/oppenheimer_2023,Oppenheimer,93,positive,91,positive,"Jul 21, 2023, Wide",21-Nov-23,R (Nudity|Language|Some Sexuality),English,3h 0m
07eec0db-883f-3a59-b089-e7f739c02edb,2023,https://www.rottentomatoes.com/m/dark_windows,Dark Windows,43,negative,61,positive,"Aug 18, 2023, Limited",18-Aug-23,,English,1h 20m
0806d3e0-0c5a-431d-ab48-2326ad28f86b,2023,https://www.rottentomatoes.com/m/mr_monks_last_case_a_monk_movie,Mr. Monk's Last Case: A Monk Movie,96,positive,80,positive,,8-Dec-23,TV-PG (V|L),English,1h 37m
08dfb4c8-b464-48c6-a655-9d8cc41d3a17,2023,https://www.rottentomatoes.com/m/follow_the_dead,Follow the Dead,100,positive,72,positive,,19-Jan-23,,English,1h 33m
